Sample	SampleType	SampleInfo	dorado version	basecall model version	fast	hac	hacdup	sup	supdup	mods	pod5
ZymoFecal	metagenome	https://zymoresearch.eu/collections/zymobiomics-microbial-community-standards/products/zymobiomics-fecal-reference-with-trumatrix-technology	0.7.3	5.0.0	NA	NA	NA	NA	NA	ftp.sra.ebi.ac.uk/vol1/run/ERR142/ERR14251395/PAW77640.dorado0.7.3.bm5.0.0.sup.mod4mC_5mC_6mA.subset.bam	ftp.sra.ebi.ac.uk/vol1/run/ERR147/ERR14789831/PAW77640.tar.gz
ZymoFecal	metagenome	https://zymoresearch.eu/collections/zymobiomics-microbial-community-standards/products/zymobiomics-fecal-reference-with-trumatrix-technology	0.8.2	5.0.0	ftp.sra.ebi.ac.uk/vol1/run/ERR142/ERR14251405/PAW77640.dorado0.8.2.bm5.0.0.fast.sim.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR142/ERR14251406/PAW77640.dorado0.8.2.bm5.0.0.hac.sim.fastq.gz	NA	ftp.sra.ebi.ac.uk/vol1/run/ERR142/ERR14251407/PAW77640.dorado0.8.2.bm5.0.0.sup.sim.fastq.gz	NA	ftp.sra.ebi.ac.uk/vol1/run/ERR142/ERR14251396/PAW77640.dorado0.8.2.bm5.0.0.sup.sim.mod4mC_5mC_6mA.bam	ftp.sra.ebi.ac.uk/vol1/run/ERR147/ERR14789831/PAW77640.tar.gz
ZymoFecal	metagenome	https://zymoresearch.eu/collections/zymobiomics-microbial-community-standards/products/zymobiomics-fecal-reference-with-trumatrix-technology	1.0.0	5.2.0	NA	NA	NA	NA	NA	ftp.sra.ebi.ac.uk/vol1/run/ERR154/ERR15459726/PAW77640.dorado1.0.0.bm5.2.0_sup.sim.mod4mC_5mC_6mA.bam	ftp.sra.ebi.ac.uk/vol1/run/ERR147/ERR14789831/PAW77640.tar.gz
ZymoGut	mock	https://zymoresearch.eu/products/zymobiomics-gut-microbiome-standard	0.8.2	5.0.0	ftp.sra.ebi.ac.uk/vol1/run/ERR142/ERR14251408/PAY12289_barcode13.dorado0.8.2.bm5.0.0.fast.sim.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR142/ERR14251409/PAY12289_barcode13.dorado0.8.2.bm5.0.0.hac.sim.fastq.gz	NA	ftp.sra.ebi.ac.uk/vol1/run/ERR142/ERR14251410/PAY12289_barcode13.dorado0.8.2.bm5.0.0.sup.sim.fastq.gz	NA	ftp.sra.ebi.ac.uk/vol1/run/ERR142/ERR14251397/PAY12289_barcode13.dorado0.8.2.bm5.0.0.sup.mod4mC_5mC_6mA.bam	ftp.sra.ebi.ac.uk/vol1/run/ERR147/ERR14789832/PAY12289_barcode13.tar.gz
ZymoGut	mock	https://zymoresearch.eu/products/zymobiomics-gut-microbiome-standard	1.0.0	5.2.0	NA	NA	NA	NA	NA	ftp.sra.ebi.ac.uk/vol1/run/ERR154/ERR15459768/PAY12289_barcode13.dorado1.0.0.bm5.2.0_sup.sim.mod4mC_5mC_6mA.bam	ftp.sra.ebi.ac.uk/vol1/run/ERR147/ERR14789832/PAY12289_barcode13.tar.gz
ZymoHMW	mock	https://zymoresearch.eu/products/zymobiomics-hmw-dna-standard	0.7.3	5.0.0	ftp.sra.ebi.ac.uk/vol1/run/ERR142/ERR14294020/PAS01578.dorado0.7.3.bmdna_r10.4.1_e8.2_400bps_5.0.0_fast.sim.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR142/ERR14294021/PAS01578.dorado0.7.3.bmdna_r10.4.1_e8.2_400bps_5.0.0_hac.sim.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR142/ERR14294022/PAS01578.dorado0.7.3.bmdna_r10.4.1_e8.2_400bps_5.0.0_hac.dup.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR142/ERR14294023/PAS01578.dorado0.7.3.bmdna_r10.4.1_e8.2_400bps_5.0.0_sup.sim.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR142/ERR14294024/PAS01578.dorado0.7.3.bmdna_r10.4.1_e8.2_400bps_5.0.0_sup.dup.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR142/ERR14251398/PAS01578.dorado0.7.3.bmdna_r10.4.1_e8.2_400bps@5.0.0_sup.sim.mod4mC_5mC_6mA.bam	ftp.sra.ebi.ac.uk/vol1/run/ERR147/ERR14789833/PAS01578.tar.gz
ZymoHMW	mock	https://zymoresearch.eu/products/zymobiomics-hmw-dna-standard	1.0.0	5.2.0	ftp.sra.ebi.ac.uk/vol1/run/ERR154/ERR15459722/PAS01578.dorado1.0.0.bm5.2.0_fast.sim.bam	ftp.sra.ebi.ac.uk/vol1/run/ERR154/ERR15459723/PAS01578.dorado1.0.0.bm5.2.0_hac.sim.bam	NA	ftp.sra.ebi.ac.uk/vol1/run/ERR154/ERR15459724/PAS01578.dorado1.0.0.bm5.2.0_sup.sim.bam	NA	ftp.sra.ebi.ac.uk/vol1/run/ERR154/ERR15459725/PAS01578.dorado1.0.0.bm5.2.0_sup.sim.mod4mC_5mC_6mA.bam	ftp.sra.ebi.ac.uk/vol1/run/ERR147/ERR14789833/PAS01578.tar.gz
ZymoHMW	mock	https://zymoresearch.eu/products/zymobiomics-hmw-dna-standard	1.0.0	5.0.0	NA	NA	NA	NA	NA	NA	ftp.sra.ebi.ac.uk/vol1/run/ERR147/ERR14789833/PAS01578.tar.gz
ZymoOral	mock	https://zymoresearch.eu/products/zymobiomics-oral-microbiome-standard	1.0.0	5.2.0	NA	NA	NA	NA	NA	ftp.sra.ebi.ac.uk/vol1/run/ERR154/ERR15459767/PAY12289_barcode12.dorado1.0.0.bm5.2.0_sup.sim.mod4mC_5mC_6mA.bam	ftp.sra.ebi.ac.uk/vol1/run/ERR147/ERR14789834/PAY12289_barcode12.tar.gz
ZymoOral	mock	https://zymoresearch.eu/products/zymobiomics-oral-microbiome-standard	0.8.2	5.0.0	ftp.sra.ebi.ac.uk/vol1/run/ERR142/ERR14251411/PAY12289_barcode12.dorado0.8.2.bm5.0.0.fast.sim.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR142/ERR14251412/PAY12289_barcode12.dorado0.8.2.bm5.0.0.hac.sim.fastq.gz	NA	ftp.sra.ebi.ac.uk/vol1/run/ERR142/ERR14251413/PAY12289_barcode12.dorado0.8.2.bm5.0.0.sup.sim.fastq.gz	NA	ftp.sra.ebi.ac.uk/vol1/run/ERR142/ERR14251399/PAY12289_barcode12.dorado0.8.2.bm5.0.0.sup.mod4mC_5mC_6mA.bam	ftp.sra.ebi.ac.uk/vol1/run/ERR147/ERR14789834/PAY12289_barcode12.tar.gz
Anabaena variabilis PCC 7120 DSM 107007	monoculture	https://www.dsmz.de/collection/catalogue/details/culture/DSM-107007	0.8.2	5.0.0	ftp.sra.ebi.ac.uk/vol1/run/ERR142/ERR14251414/PAW78174_barcode01.dorado0.8.2.bm5.0.0.fast.sim.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR142/ERR14251415/PAW78174_barcode01.dorado0.8.2.bm5.0.0.hac.sim.fastq.gz	NA	ftp.sra.ebi.ac.uk/vol1/run/ERR142/ERR14251416/PAW78174_barcode01.dorado0.8.2.bm5.0.0.sup.sim.fastq.gz	NA	ftp.sra.ebi.ac.uk/vol1/run/ERR142/ERR14294002/PAW78174_barcode01.dorado0.8.2.bm5.0.0.sup.mod4mC_5mC_6mA.bam	ftp.sra.ebi.ac.uk/vol1/run/ERR147/ERR14789835/PAW78174_barcode01.tar.gz
Anabaena variabilis PCC 7120 DSM 107007	monoculture	https://www.dsmz.de/collection/catalogue/details/culture/DSM-107007	1.0.0	5.2.0	ftp.sra.ebi.ac.uk/vol1/run/ERR154/ERR15459727/PAW78174_barcode01.dorado1.0.0.bm5.2.0_fast.sim.bam	ftp.sra.ebi.ac.uk/vol1/run/ERR154/ERR15459728/PAW78174_barcode01.dorado1.0.0.bm5.2.0_hac.sim.bam	NA	ftp.sra.ebi.ac.uk/vol1/run/ERR154/ERR15459729/PAW78174_barcode01.dorado1.0.0.bm5.2.0_sup.sim.bam	NA	ftp.sra.ebi.ac.uk/vol1/run/ERR154/ERR15459730/PAW78174_barcode01.dorado1.0.0.bm5.2.0_sup.sim.mod4mC_5mC_6mA.bam	ftp.sra.ebi.ac.uk/vol1/run/ERR147/ERR14789835/PAW78174_barcode01.tar.gz
Desulfobacca acetoxidans ASRB2 DSM 11109	monoculture	https://www.dsmz.de/collection/catalogue/details/culture/DSM-11109	0.8.2	5.0.0	ftp.sra.ebi.ac.uk/vol1/run/ERR142/ERR14294025/PAW78174_barcode11.dorado0.8.2.bm5.0.0.fast.sim.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR142/ERR14294026/PAW78174_barcode11.dorado0.8.2.bm5.0.0.hac.sim.fastq.gz	NA	ftp.sra.ebi.ac.uk/vol1/run/ERR142/ERR14294027/PAW78174_barcode11.dorado0.8.2.bm5.0.0.sup.sim.fastq.gz	NA	ftp.sra.ebi.ac.uk/vol1/run/ERR142/ERR14294003/PAW78174_barcode11.dorado0.8.2.bm5.0.0.sup.mod4mC_5mC_6mA.bam	ftp.sra.ebi.ac.uk/vol1/run/ERR147/ERR14789836/PAW78174_barcode11.tar.gz
Desulfobacca acetoxidans ASRB2 DSM 11109	monoculture	https://www.dsmz.de/collection/catalogue/details/culture/DSM-11109	1.0.0	5.2.0	ftp.sra.ebi.ac.uk/vol1/run/ERR154/ERR15459763/PAW78174_barcode11.dorado1.0.0.bm5.2.0_fast.sim.bam	ftp.sra.ebi.ac.uk/vol1/run/ERR154/ERR15459764/PAW78174_barcode11.dorado1.0.0.bm5.2.0_hac.sim.bam	NA	ftp.sra.ebi.ac.uk/vol1/run/ERR154/ERR15459765/PAW78174_barcode11.dorado1.0.0.bm5.2.0_sup.sim.bam	NA	ftp.sra.ebi.ac.uk/vol1/run/ERR154/ERR15459766/PAW78174_barcode11.dorado1.0.0.bm5.2.0_sup.sim.mod4mC_5mC_6mA.bam	ftp.sra.ebi.ac.uk/vol1/run/ERR147/ERR14789836/PAW78174_barcode11.tar.gz
Sagittula stellata E-37 DSM 11524	monoculture	https://www.dsmz.de/collection/catalogue/details/culture/DSM-11524	0.8.2	5.0.0	ftp.sra.ebi.ac.uk/vol1/run/ERR142/ERR14251417/PAW78174_barcode05.dorado0.8.2.bm5.0.0.fast.sim.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR142/ERR14251418/PAW78174_barcode05.dorado0.8.2.bm5.0.0.hac.sim.fastq.gz	NA	ftp.sra.ebi.ac.uk/vol1/run/ERR142/ERR14251419/PAW78174_barcode05.dorado0.8.2.bm5.0.0.sup.sim.fastq.gz	NA	ftp.sra.ebi.ac.uk/vol1/run/ERR142/ERR14294004/PAW78174_barcode05.dorado0.8.2.bm5.0.0.sup.mod4mC_5mC_6mA.bam	ftp.sra.ebi.ac.uk/vol1/run/ERR147/ERR14789837/PAW78174_barcode05.tar.gz
Sagittula stellata E-37 DSM 11524	monoculture	https://www.dsmz.de/collection/catalogue/details/culture/DSM-11524	1.0.0	5.2.0	ftp.sra.ebi.ac.uk/vol1/run/ERR154/ERR15459743/PAW78174_barcode05.dorado1.0.0.bm5.2.0_fast.sim.bam	ftp.sra.ebi.ac.uk/vol1/run/ERR154/ERR15459744/PAW78174_barcode05.dorado1.0.0.bm5.2.0_hac.sim.bam	NA	ftp.sra.ebi.ac.uk/vol1/run/ERR154/ERR15459745/PAW78174_barcode05.dorado1.0.0.bm5.2.0_sup.sim.bam	NA	ftp.sra.ebi.ac.uk/vol1/run/ERR154/ERR15459746/PAW78174_barcode05.dorado1.0.0.bm5.2.0_sup.sim.mod4mC_5mC_6mA.bam	ftp.sra.ebi.ac.uk/vol1/run/ERR147/ERR14789837/PAW78174_barcode05.tar.gz
Salmonella bongori 1224.72 DSM 13772	monoculture	https://www.dsmz.de/collection/catalogue/details/culture/DSM-13772	0.8.2	5.0.0	ftp.sra.ebi.ac.uk/vol1/run/ERR142/ERR14251420/PAW78174_barcode07.dorado0.8.2.bm5.0.0.fast.sim.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR142/ERR14251421/PAW78174_barcode07.dorado0.8.2.bm5.0.0.hac.sim.fastq.gz	NA	ftp.sra.ebi.ac.uk/vol1/run/ERR142/ERR14251422/PAW78174_barcode07.dorado0.8.2.bm5.0.0.sup.sim.fastq.gz	NA	ftp.sra.ebi.ac.uk/vol1/run/ERR142/ERR14294005/PAW78174_barcode07.dorado0.8.2.bm5.0.0.sup.mod4mC_5mC_6mA.bam	ftp.sra.ebi.ac.uk/vol1/run/ERR147/ERR14789838/PAW78174_barcode07.tar.gz
